Band;FanfictionCount
Слава КПСС | Slava KPSS (Musician);18
t.A.T.u. (Band);18
Travis Japan;18
羽泉 | Yǔ Quán (Band);18
Avril Lavigne (Musician);17
The Beach Boys (Band);17
Beautiful - Monsta X (Music Video);17
The Byrds (Band);17
The Civil Wars (Band);17
DPR LIVE (Musician);17
Feel Special - TWICE (Music Video);17
Frosty the Snowman - All Media Types;17
Iggy Pop (Musician);17
JILUKA (Band);17
Jon Bellion (Musician);17
Juice Juice (Band);17
Justice (Band);17
KINGDOM (Korea Band);17
Legion of the Black - Black Veil Brides (Music Video);17
lovelytheband (Band);17
なにわ男子 | Naniwa Danshi (Band);17
Only The Young (Band);17
Planet Booty (Band);17
Rick Astley (Musician);17
S/mileage | ANGERME (Band);17
Santa Cruz (Band);17
Snoop Dogg (Musician);17
Stage Fright (2014);17
To Kill A King (Band);17
超时空 回 - 威神V | Turn Back Time - WayV (Music Video);17
Your Favorite Martian;17
B.O.Y (Korea Band);16
Cassidy Haley (Musician);16
天上智喜 The Grace | CSJH The Grace;16
Dae Guk Nam Ah | The Boss;16
Danny Elfman (Musician);16
Eric Clapton (Musician);16
IM (Band);16
Insane Clown Posse;16
木马 | Muma (Band);16
Nik Kershaw (Musician);16
天空少年 | S.K.Y (Band);16
SM the Ballad;16
Sweet California (Band);16
Tori Amos (Musician);16
WALK THE MOON (Band);16
Xdinary Heroes (Band);16
69 Eyes;15
The Amazing Devil (Band);15
Area 11;15
Ashlee Simpson (Musician);15
B.I.Shadow;15
Chase Me - Dreamcatcher (Music Video);15
Cherry Bullet (Band);15
Children of Bodom;15
Dead Kennedys;15
Dirty Computer - Janelle Monáe (Music Video);15
Gamma Ray (Band);15
George Michael (Musician);15
红花会 | Hóng Huā Huì (Band);15
Hunter Hayes (Musician);15
Joan Jett and the Blackhearts;15
Lamb of God (Band);15
Last Friday Night - Katy Perry (Music Video);15
Leslie Cheung (Musician);15
Lil Peep (Musician) RPF;15
MEGAMASSO (Band);15
MORRIGAN (Japan Band);15
Nega (Band);15
The Pretty Reckless;15
Professional Griefers - Deadmau5 ft. Gerard Way (Music Video);15
Shine Forever - Monsta X (Music Video);15
SWMRS (Band);15
Teenage Love Triangle Series - Taylor Swift (Song Cycle);15
Tự Tâm Series - Nguyễn Trần Trung Quân (Music Videos);15
9GOATS BLACK OUT;14
The ArchAndroid - Janelle Monáe;14
Attack Attack! (Band);14
The Damned (Band);14
Darkthrone (Band);14
Deep Purple (Band);14
Dirty Pretty Things (Band);14
Dream Street (Band);14
逃跑计划 | Escape Plan (Band);14
Fantastic Baby - BIGBANG (Music Video);14
Helloween (Band);14
In This Moment (Band);14
Kesha (Musician);14
Lorde (Musician);14
ミカグラ学園組曲 | Mikagura School Suite - All Media Types;14
미래소년 | MIRAE (Band);14
摩登兄弟 | Modern Brothers (Band);14
Nam Yoondo | Eric Nam (Musician);14
Negative (Band);14
New Hope Club (Band);14
Odd Future;14
Straylight Run;14
Target (Korea Band);14
Telephone - Lady Gaga ft Beyoncé (Music Video);14
Tempo - EXO (Music Video);14
That Poppy (Musician) RPF;14
Tool (Band);14
Trans-Siberian Orchestra;14
Van Halen;14
Whisper - VIXX LR (Music Video);14
백퍼센트 | 100 Percent (Band);13
Alamat (Band);13
Behemoth (Band);13
Beyond (Band);13
Boys generally Asian | BgA;13
BREAKERZ;13
Bright Eyes (Band);13
Deftones (Band);13
Diplo (Musician);13
Kuroyume;13
Laboum (Band);13
凛 -the end of corruption world- | Lin -the End of Corruption World-;13
MAX (Musician);13
Moran (Band);13
Mother Love Bone;13
NKOTBSB Tour;13
NYC (Band);13
Over9000 (Band);13
ペンタゴン | Pentagon (Japan Band);13
Sam Smith (Musician);13
Testament (Band);13
Vidoll;13
Wednesday 13 (Band);13
Ya-ya-yah (Band);13
+44 (Band);12
Antic Cafe (Band);12
Beastie Boys (Band);12
Bebe Rexha (Musician);12
Blixa Bargeld (Musician);12
Blue Oyster Cult;12
BVNDIT (Band);12
Carach Angren (Band);12
Cinderella (Band);12
Confident - Demi Lovato (Music Video);12
데자부 | Deja Vu - Dreamcatcher (Music Video);12
Dr. Dre (Musician);12
Emerson Lake & Palmer (Band);12
Epica (Band);12
The Fox - Ylvis (Music Video);12
Foxboro Hot Tubs (Band);12
GLAY (Band);12
GOOD DAY (Korea Band);12
Grimes (Musician) RPF;12
Hot Milk (Band);12
The Kills;12
The Longshot (Band);12
Lovex (Band);12
Mumford & Sons (Band);12
Ozzy Osbourne (Musician);12
Perfume (Band);12
Prince (Musician) RPF;12
Slayer (Band);12
The Stooges (Band);12
Sugizo (Musician);12
T.M.Revolution;12
TRAX (Korea Band);12
Wallows (Band);12
Weird Al Yankovic (Musician);12
Wham! (Band);12
You Belong With Me - University of Rochester Yellowjackets (Music Video);12
Austin Mahone (Musician);11
Badflower (Band);11
Blank Space - Taylor Swift (Music Video);11
Brian London (Musician);11
Christina Aguilera (Musician);11
Dayshell (Band);11
Desolation Row - My Chemical Romance (Music Video);11
脏手指 | Dirty Fingers (Band);11
Fedez (Musician) RPF;11
GLAM (band);11
Halestorm;11
Heart Attack - LOONA (Music Video);11
Hizaki Grace Project;11
IZ (Band);11
Johnny Cash (Musician);11
Journey (Band);11
JXR (Korea Band);11
Kay Kay and His Weathered Underground (Band);11
こぶしファクトリー | Kobushi Factory;11
Mangled - Nathan Sharp (Music Video);11
Metis Gretel;11
Michelle Branch (Musician);11
Oingo Boingo (Band);11
Phantasmagoria (Japan Band);11
Phil Collins (Musician);11
Revolver - The Beatles;11
Seven O'Clock (Band);11
The Sounds;11
Stand Atlantic (Band);11
Steven Tyler (Musician);11
Take Me to Church - Hozier (Music Video);11
Troublemaker;11
Vampire Weekend;11
The Velvet Underground;11
VROMANCE (Band);11
The Weeknd (Musician);11
Acid Black Cherry;10
April (Band);10
Bad - Michael Jackson (Music Video);10
Bauhaus;10
The Birthday Party (Band);10
Black Sabbath;10
Blue Song - Mint Royale (Music Video);10
Chase Atlantic (Band);10
Country Girls (Japan Band);10
Deathstars (Band);10
DECAYS (Japan Band);10
Destroyer - Monsta X (Music Video);10
Dhani Harrison (Musician);10
Dresden Dolls;10
EPEX (Band);10
ERROR (Hong Kong Band);10
Fade (Band);10
Frank Ocean (Musician);10
Holland (Korea Musician);10
Hoppipolla (Korea Band);10
Issues (Band);10
Jessi (Korea Musician);10
JJAMZ (Band);10
JJCC (Band);10
Litesound (Band);10
Longguo & Shihyun (Band);10
Macklemore (Musician);10
普通人 | Mandarin (Band);10
Megaromania (Band);10
Memphis May Fire;10
Migimimi sleep tight (Band);10
Mint Royale;10
天选之城 - 威神V | Moonwalk - WayV (Music Video);10
NATURE (Korea Band);10
The Neighbourhood (Band);10
Never Gonna Give You Up - Rick Astley (Music Video);10
New Years Day (Band);10
New York Dolls (Band);10
Savage Garden;10
Schwein (Band);10
Shatter Me - Lindsey Stirling ft. Lzzy Hale (Music Video);10
Skillet (Band);10
Studio Killers (Band);10
Sufjan Stevens (Musician);10
